Group,cg05748796,cg04199256,cg26605760,cg21881537,cg08559914,cg10468385,cg05039749,cg02481451,cg01489398,cg23232263,cg21657705,cg16734967,cg21094739
CFS,0.921406,0.825204,0.911343,0.914897,0.928049,0.94331,0.0694226,0.901257,0.926636,0.783309,0.957719,0.6486,0.9142
CFS,0.899889,0.805825,0.85238,0.915733,0.888537,0.924626,0.162958,0.851326,0.913632,0.740549,0.927403,0.561026,0.86186
CFS,0.876975,0.832651,0.874456,0.919596,0.909829,0.937337,0.164414,0.892595,0.928715,0.824625,0.955375,0.628105,0.906691
CFS,0.888511,0.843693,0.904032,0.91013,0.926025,0.943403,0.137757,0.897098,0.93088,0.832365,0.950217,0.724594,0.874905
CFS,0.884109,0.855032,0.899149,0.919858,0.902412,0.93138,0.156296,0.877502,0.92297,0.783525,0.952643,0.689364,0.909414
CFS,0.916687,0.891284,0.911566,0.915186,0.925616,0.947177,0.126675,0.911602,0.937527,0.82862,0.974357,0.655158,0.924044
CFS,0.91975,0.848881,0.879051,0.916923,0.938093,0.929679,0.112034,0.90211,0.935387,0.820511,0.961506,0.627484,0.897486
CFS,0.90759,0.821149,0.868942,0.914595,0.869382,0.936066,0.155471,0.853593,0.886707,0.779358,0.945576,0.538097,0.886223
CFS,0.894325,0.850421,0.883689,0.90969,0.901397,0.929237,0.128084,0.880978,0.922548,0.79544,0.943794,0.675778,0.905038
CFS,0.913773,0.841941,0.81599,0.906563,0.880746,0.933805,0.141849,0.886453,0.920114,0.872981,0.952665,0.738643,0.898356
CFS,0.910625,0.868808,0.86907,0.912623,0.899993,0.932777,0.141234,0.880063,0.91172,0.801244,0.952317,0.66125,0.906487
CFS,0.878819,0.836202,0.865751,0.911642,0.916551,0.934553,0.160385,0.903855,0.936209,0.849936,0.952949,0.68963,0.894857
CFS,0.895337,0.789658,0.869792,0.886798,0.865991,0.930274,0.12407,0.848601,0.886835,0.790847,0.935121,0.680473,0.868162
CFS,0.897745,0.811529,0.868923,0.896559,0.885465,0.917474,0.249473,0.878409,0.873125,0.759773,0.941825,0.718202,0.880224
CFS,0.866929,0.818644,0.891273,0.902703,0.911321,0.917125,0.175089,0.881508,0.898539,0.784347,0.935177,0.608295,0.880745
CFS,0.886024,0.805838,0.868354,0.925875,0.875138,0.921907,0.232696,0.883686,0.891008,0.80274,0.933091,0.699074,0.892495
CFS,0.886088,0.803775,0.84925,0.898267,0.873923,0.890466,0.234215,0.862763,0.891054,0.751034,0.936353,0.613387,0.856114
CFS,0.891966,0.80248,0.886928,0.920326,0.881593,0.923381,0.161397,0.887579,0.89188,0.754475,0.935355,0.621479,0.881266
CFS,0.855815,0.793179,0.860455,0.875744,0.907331,0.91861,0.167428,0.896905,0.874125,0.778501,0.924845,0.648142,0.869596
CFS,0.908231,0.848154,0.886784,0.909266,0.922302,0.921895,0.198633,0.890919,0.892624,0.704902,0.941812,0.747524,0.905548
CFS,0.913542,0.814167,0.849017,0.897117,0.904635,0.927902,0.218216,0.891828,0.848956,0.801979,0.931129,0.63082,0.876614
CFS,0.862529,0.824923,0.874207,0.900224,0.91553,0.931384,0.141854,0.89082,0.890366,0.829607,0.929853,0.717643,0.903035
CFS,0.893192,0.825472,0.890315,0.90481,0.899482,0.90899,0.166551,0.883891,0.886317,0.804758,0.93273,0.653304,0.874109
CFS,0.915622,0.840247,0.912736,0.909115,0.937409,0.937958,0.183522,0.886945,0.917578,0.862789,0.949128,0.734113,0.90461
CFS,0.8924,0.784493,0.85056,0.867202,0.882848,0.916061,0.189319,0.896801,0.85787,0.764904,0.905277,0.695104,0.863938
CFS,0.8788,0.798212,0.857111,0.890519,0.881428,0.907437,0.132398,0.890072,0.859364,0.760699,0.93259,0.601031,0.877576
CFS,0.921379,0.838686,0.872336,0.914485,0.916139,0.922703,0.138828,0.911841,0.890641,0.853724,0.943026,0.738257,0.894067
CFS,0.909461,0.839827,0.860171,0.908789,0.914027,0.934959,0.161213,0.915359,0.906282,0.798444,0.933694,0.69193,0.893444
CFS,0.900202,0.855191,0.903425,0.912798,0.934282,0.93112,0.139074,0.894658,0.906438,0.840244,0.933666,0.643365,0.894301
CFS,0.914779,0.826663,0.884228,0.909565,0.919489,0.917392,0.193623,0.878232,0.876567,0.816438,0.947286,0.672223,0.882803
CFS,0.890977,0.838362,0.886223,0.901497,0.956918,0.939841,0.158548,0.890225,0.898197,0.822035,0.941108,0.646276,0.91624
CFS,0.914863,0.817467,0.86881,0.911426,0.86689,0.919959,0.200758,0.855041,0.888569,0.754801,0.927426,0.561357,0.87511
CFS,0.839851,0.819917,0.895918,0.89994,0.910462,0.939465,0.265224,0.908945,0.898818,0.780416,0.937241,0.731737,0.905771
CFS,0.868232,0.811059,0.732904,0.899414,0.927985,0.933795,0.131208,0.89702,0.909946,0.809611,0.930924,0.552834,0.862168
CFS,0.913317,0.797092,0.877079,0.873337,0.944609,0.935552,0.114126,0.893191,0.897759,0.85238,0.919983,0.749476,0.892032
CFS,0.887227,0.804499,0.88088,0.905388,0.925665,0.921628,0.17616,0.905238,0.895411,0.794859,0.928402,0.738888,0.892865
CFS,0.922675,0.820961,0.867169,0.902409,0.890225,0.919295,0.1908,0.900247,0.897974,0.804618,0.950678,0.665989,0.893892
